id,name,rarity,skills,slots,equivalentSlots,keySkillValue,createdAt
"CHARM_ID_0104","地学护石Ⅲ","5","HunterSkill_090,3","0,0,0","0,0,0,3,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0107","重击护石Ⅲ","8","HunterSkill_091,3","0,0,0","0,0,0,0,3,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0110","爆师护石Ⅲ","6","HunterSkill_095,3","0,0,0","0,0,0,3,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0113","嗜菇护石Ⅲ","7","HunterSkill_096,3","0,0,0","0,0,0,0,3,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0116","持续护石Ⅲ","5","HunterSkill_097,3","0,0,0","0,0,0,3,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0121","友爱护石Ⅴ","6","HunterSkill_098,5","0,0,0","0,0,0,5,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0124","小胃口护石Ⅲ","6","HunterSkill_099,3","0,0,0","0,0,0,3,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0128","底力护石Ⅳ","8","HunterSkill_100,4","0,0,0","0,0,0,0,4,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0131","耐冲护石Ⅲ","5","HunterSkill_102,3","0,0,0","0,0,0,3,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0134","断食护石Ⅲ","5","HunterSkill_105,3","0,0,0","0,0,0,3,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0137","逆袭护石Ⅲ","7","HunterSkill_110,3","0,0,0","0,0,0,0,3,0","3","2025-02-27T16:00:00.000Z"
"CHARM_ID_0140","攻势护石Ⅲ","7","HunterSkill_111,3","0,0,0","0,0,0,0,0,3","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0143","转福护石Ⅲ","8","HunterSkill_113,3","0,0,0","0,0,0,0,3,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0146","连击护石Ⅲ","8","HunterSkill_114,3","0,0,0","0,0,0,0,0,3","3","2025-02-27T16:00:00.000Z"
"CHARM_ID_0149","反攻护石Ⅲ","8","HunterSkill_115,3","0,0,0","0,0,0,0,0,3","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0152","急袭护石Ⅲ","7","HunterSkill_116,3","0,0,0","0,0,0,0,3,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0155","耐裂护石Ⅲ","6","HunterSkill_119,3","0,0,0","0,0,0,3,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0158","耐防护石Ⅲ","6","HunterSkill_120,3","0,0,0","0,0,0,3,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0162","环境护石Ⅲ","6","HunterSkill_134,3","0,0,0","0,0,0,3,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0168","威吓护石Ⅲ","6","HunterSkill_139,3","0,0,0","0,0,0,3,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0171","耐缚护石Ⅲ","7","HunterSkill_189,3","0,0,0","0,0,0,3,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0173","锁刃护石Ⅱ","7","HunterSkill_146,2","0,0,0","0,0,0,0,0,2","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0177","属吸护石Ⅱ","8","HunterSkill_190,2","0,0,0","0,0,0,0,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0179","属变护石Ⅱ","8","HunterSkill_191,2","0,0,0","0,0,0,0,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0182","抗狂护石Ⅲ","7","HunterSkill_195,3","0,0,0","0,0,0,3,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0200","希望护石","5","HunterSkill_069,1,HunterSkill_145,1","0,0,0","0,0,0,2,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0207","整备护石Ⅳ","8","HunterSkill_138,4","0,0,0","0,0,0,0,4,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0208","饭团护石","6","HunterSkill_211,1","0,0,0","0,0,0,0,0,0","0","2025-02-27T16:00:00.000Z"
