id,name,type,description,sortId,category,maxLevel,accessoryLevel,isKey
"HunterSkill_083","毒耐性","SKILL_0005","减少中毒状态时受到的伤害。","257","armor","3","1","false"
"HunterSkill_084","麻痹耐性","SKILL_0005","缩短麻痹状态的时间。","258","armor","3","1","false"
"HunterSkill_085","睡眠耐性","SKILL_0005","缩短睡眠状态的时间。","259","armor","3","1","false"
"HunterSkill_120","防御力下降耐性","SKILL_0005","拥有对防御力下降的耐性。","260","armor","3","1","false"
"HunterSkill_082","属性异常耐性","SKILL_0005","拥有对所有属性异常的耐性。","261","armor","3","-1","false"
"HunterSkill_086","昏厥耐性","SKILL_0005","缩短昏厥状态的时间。","262","armor","3","1","false"
"HunterSkill_119","裂伤耐性","SKILL_0005","拥有对裂伤状态的耐性。","263","armor","3","1","false"
"HunterSkill_189","束缚耐性","SKILL_0005","获得丝线束缚状态及冻结状态的耐性。","264","armor","3","1","false"
"HunterSkill_087","爆破异常耐性","SKILL_0005","拥有对爆破异常的耐性。","265","armor","3","1","false"
"HunterSkill_122","恶臭耐性","SKILL_0010","拥有对恶臭状态的耐性。","266","armor","2","1","false"
"HunterSkill_144","适应环境","SKILL_0005","获得对炎热，寒冷及会造成伤害的地形的耐性。","267","armor","2","1","false"
"HunterSkill_069","体力回复量提升","SKILL_0006","提高体力回复时的回复量。","300","armor","3","1","false"
"HunterSkill_070","回复速度","SKILL_0006","提升受伤时体力槽红色部分的回复速度。","301","armor","3","1","false"
"HunterSkill_134","环境利用知识","SKILL_0006","使用可任意发动效果的环境物时，能够追加回复体力。","302","armor","3","1","false"
"HunterSkill_025","体术","SKILL_0007","进行回避等消耗固定耐力的行动时，减少所需的耐力消耗量。","325","armor","5","1","true"
"HunterSkill_065","耐力急速回复","SKILL_0007","加快耐力的回复速度。","326","armor","3","2","false"
"HunterSkill_024","跑者","SKILL_0007","进行冲刺等逐渐消耗耐力的行动时，减少所需的耐力消耗量。","327","armor","3","1","false"
"HunterSkill_105","饥饿耐性","SKILL_0007","抑制耐力槽上限随时间减少。","328","armor","3","1","false"
"HunterSkill_058","挑战者","SKILL_0008","战斗中的大型怪物发怒时，提升攻击力与会心率。","350","armor","5","3","true"
"HunterSkill_063","力量解放","SKILL_0008","满足特定条件后，一定时间内提升会心率，减少耐力消耗量。","351","armor","5","3","true"
"HunterSkill_100","火场怪力","SKILL_0008","体力在最大值的35%以下时，提高防御力与攻击力。","352","armor","5","2","false"
"HunterSkill_114","连击","SKILL_0008","攻击连续命中时，攻击力和属性值会阶段性上升。（上升效果因武器种类而异）","353","armor","5","3","true"
"HunterSkill_111","攻势","SKILL_0008","对陷入毒、麻痹状态的大型怪物提升攻击力和会心率。","354","armor","5","3","false"
"HunterSkill_146","锁刃刺击","SKILL_0008","更容易造成创伤。以攻击累积伤害后，会追加造成无属性伤害。（部分攻击除外）","355","armor","5","3","false"
"HunterSkill_130","指示随从","SKILL_0008","强化随从的攻击力与防御力。","356","armor","5","-1","false"
"HunterSkill_022","集中","SKILL_0008","加快蓄力攻击的蓄力速度，太刀、双剑、铳枪、斩斧、盾斧、弓、弩炮的槽更易积攒。","357","weapon","3","1","true"
"HunterSkill_023","强化持续","SKILL_0008","持有太刀、双剑、斩斧、盾斧、操虫棍时发动，延长其强化状态的持续时间。","358","weapon","3","1","false"
"HunterSkill_030","拔刀术【力】","SKILL_0008","追加／强化武器拔刀攻击引起昏厥的能力，攻击力也会小幅提升。（骑乘鹭鹰龙时不会发动）","359","weapon","3","1","false"
"HunterSkill_032","击晕术","SKILL_0008","容易令怪物陷入昏厥状态。","360","weapon","3","1","false"
"HunterSkill_033","夺取耐力","SKILL_0008","提高特定攻击使怪物疲劳的效果。","361","weapon","3","1","false"
"HunterSkill_035","炮术","SKILL_0008","提高铳枪的炮击、龙击炮、盾斧的瓶攻击、穿甲榴弹等伴随爆炸的攻击的威力。","362","weapon","3","1","true"
"HunterSkill_047","高速变形","SKILL_0008","提升斩斧与盾斧变形动作的速度与威力。","363","weapon","3","1","true"
"HunterSkill_091","破坏王","SKILL_0008","更容易破坏大型怪物的部位，并提升集中弱点攻击破坏伤口时的伤害。","364","armor","3","2","false"
"HunterSkill_113","因祸得福","SKILL_0008","解除状态异常或属性异常后，一定时间内提升属性值和状态异常值。","365","armor","3","2","false"
"HunterSkill_116","急袭","SKILL_0008","成功对大型怪物发动奇袭攻击时，提升一定时间内的攻击力。","366","armor","3","2","false"
"HunterSkill_195","无我之境","SKILL_0008","感染狂龙病毒时会容易克服，并提升克服状态时的会心率。","367","armor","3","1","false"
"HunterSkill_190","属性吸收","SKILL_0008","受到属性攻击后会发动，在一定时间内获得与属性相关的效果。（效果结束后，需要经过一定时间才能再次发动）","368","armor","3","-1","false"
"HunterSkill_034","吹笛名人","SKILL_0008","延长狩猎笛旋律效果的时间。（技能效果会于切换武器后失效）","369","weapon","2","2","true"
"HunterSkill_057","蓄击强化","SKILL_0008","大锤的蓄力攻击命中时，提升引发昏厥的能力，并增加伤害。","370","weapon","1","2","true"
"HunterSkill_055","飞燕","SKILL_0008","强化跳跃攻击。","371","weapon","1","2","true"
"HunterSkill_145","钻研","SKILL_0008","攻击力和防御力随任务时间推移而上升。（30分钟后达到增幅上限）","372","armor","1","1","false"
"HunterSkill_141","毒伤害强化","SKILL_0008","延长使怪物陷入中毒状态的时间。","373","weapon","1","2","false"
"HunterSkill_026","格挡性能","SKILL_0009","格挡时不易后仰，并减少耐力消耗。","400","weapon","3","1","true"
"HunterSkill_075","回避性能","SKILL_0009","延长回避时的无敌时间。","401","armor","5","2","true"
"HunterSkill_076","回避距离提升","SKILL_0009","延长回避时的移动距离。","402","armor","3","2","true"
"HunterSkill_072","耳塞","SKILL_0009","拥有对大型怪物咆哮的耐性。","403","armor","3","2","false"
"HunterSkill_027","格挡强化","SKILL_0009","减少格挡时所受伤害，并可以格挡原本无法格挡的攻击。","404","weapon","3","1","true"
"HunterSkill_031","纳刀术","SKILL_0009","加快收起武器的速度。","405","armor","3","1","true"
"HunterSkill_073","风压耐性","SKILL_0009","拥有对风压的耐性。","406","armor","3","1","false"
"HunterSkill_074","耐震","SKILL_0009","拥有对地面震动的耐性。","407","armor","3","1","false"
"HunterSkill_102","减轻胆怯","SKILL_0009","减轻受到小伤害时的硬直。","408","armor","3","1","false"
"HunterSkill_139","威吓","SKILL_0009","即使被小型怪物发现，也不容易进入战斗状态。（对甲虫种等部分怪物无效）","409","armor","3","1","false"
"HunterSkill_071","快吃","SKILL_0009","加快食用肉及道具的速度。","410","armor","3","1","false"
"HunterSkill_036","炮弹装填","SKILL_0009","对于铳枪和盾斧，加快弹药与瓶的装填速度，并提高装填数和充能数。","411","weapon","2","1","true"
"HunterSkill_088","适应水域·油泥","SKILL_0009","获得对水域、油泥及水流造成的移动限制的耐性。","412","armor","2","1","false"
"HunterSkill_050","缓冲","SKILL_0009","攻击命中同伴，或受到同伴的攻击时，均不会产生受击反应。","413","armor","1","1","true"
"HunterSkill_106","飞身跃入","SKILL_0009","可以向着大型怪物进行飞扑回避。同时会延长飞跃距离。","414","armor","1","1","false"
"HunterSkill_103","跳跃铁人","SKILL_0009","跳跃中即使遭受攻击，也不会后仰。","415","armor","1","1","false"
"HunterSkill_109","攀岩者","SKILL_0009","攀爬藤蔓时，减少各类动作的耐力消耗。","416","armor","1","1","false"
"HunterSkill_098","广域化","SKILL_0010","某些道具的效果会影响到一定范围内的同伴。随着等级提升，效果的范围和强度也会增加。","450","armor","5","1","false"
"HunterSkill_138","整备","SKILL_0010","缩短特殊装备的冷却时间。","451","armor","5","2","false"
"HunterSkill_095","炸弹客","SKILL_0010","提高爆弹类道具的伤害。","452","armor","3","1","false"
"HunterSkill_096","最爱蘑菇","SKILL_0010","可以吃下平常无法食用的蘑菇，获得有益的效果。","453","armor","3","2","false"
"HunterSkill_097","道具使用强化","SKILL_0010","延长部分道具的效果时间。","454","armor","3","1","false"
"HunterSkill_099","满足感","SKILL_0010","使用饮食类道具时，有一定概率不会消耗，可以再次使用。","455","armor","3","1","false"
"HunterSkill_046","砥石使用高速化","SKILL_0010","缩短砥石的使用时间。","456","weapon","2","1","false"
"HunterSkill_136","闪光强化","SKILL_0010","增强主动引发的闪光的效果。","458","armor","1","1","false"
"HunterSkill_089","植生学","SKILL_0011","增加药草等消耗道具的取得数。","475","armor","4","1","false"
"HunterSkill_090","地质学","SKILL_0011","增加从采集点获得的道具数量。","476","armor","3","1","false"
"HunterSkill_137","昆虫标本达人","SKILL_0011","以攻击讨伐昆虫型的小型怪物后，必定会留下可供剥取的尸体。（部分怪物除外）","477","armor","1","1","false"
"HunterSkill_126","猎人生活","SKILL_0011","提升垂钓、烤肉和搬运的技术。","478","armor","1","1","false"
"HunterSkill_162","甲虫之直觉","SKILL_0012","SkillCommon_EXP1968728576","500","group","5","-1","false"
"HunterSkill_163","甲虫之拟态","SKILL_0012","SkillCommon_EXP1685697920","501","group","5","-1","false"
"HunterSkill_166","铺鳞之技法","SKILL_0012","SkillCommon_EXP1487598336","502","group","5","-1","false"
"HunterSkill_167","叠鳞之工艺","SKILL_0012","SkillCommon_EXPm1664678272","503","group","5","-1","false"
"HunterSkill_164","皮革制品之柔韧","SKILL_0012","SkillCommon_EXPm1648695680","504","group","5","-1","false"
"HunterSkill_165","皮革制品之顺滑","SKILL_0012","SkillCommon_EXP451472896","505","group","5","-1","false"
"HunterSkill_168","毛皮之昂扬","SKILL_0012","SkillCommon_EXP1998066176","506","group","5","-1","false"
"HunterSkill_169","毛皮之诱惑","SKILL_0012","SkillCommon_EXP583598144","507","group","5","-1","false"
"HunterSkill_170","霸主之骄傲","SKILL_0012","SkillCommon_EXPm1769550080","508","group","5","-1","false"
"HunterSkill_171","霸主之愤慨","SKILL_0012","SkillCommon_EXP2107855744","509","group","5","-1","false"
"HunterSkill_172","护龙之脉动","SKILL_0012","SkillCommon_EXPm1305836672","511","group","5","-1","false"
"HunterSkill_173","护龙之守护","SKILL_0012","SkillCommon_EXPm2041451904","512","group","5","-1","false"
"HunterSkill_174","前辈之指引","SKILL_0012","SkillCommon_EXPm1642078720","513","group","5","-1","false"
"HunterSkill_175","辟兽之力","SKILL_0013","SkillCommon_EXPm62248528","550","series","5","-1","false"
"HunterSkill_180","火龙之力","SKILL_0013","SkillCommon_EXPm3666104","551","series","5","-1","false"
"HunterSkill_188","暗器蛸之力","SKILL_0013","SkillCommon_EXPm1468066176","552","series","5","-1","false"
"HunterSkill_181","铠龙之守护","SKILL_0013","SkillCommon_EXPm418246240","553","series","5","-1","false"
"HunterSkill_182","雪狮子王之斗志","SKILL_0013","SkillCommon_EXP741102208","554","series","5","-1","false"
"HunterSkill_186","凶爪龙之力","SKILL_0013","SkillCommon_EXP918165056","555","series","5","-1","false"
"HunterSkill_187","雷颚龙之斗志","SKILL_0013","SkillCommon_EXPm1768553344","556","series","5","-1","false"
"HunterSkill_177","波衣龙之守护","SKILL_0013","SkillCommon_EXP2104075392","557","series","5","-1","false"
"HunterSkill_176","煌雷龙之力","SKILL_0013","SkillCommon_EXP539707072","558","series","5","-1","false"
"HunterSkill_178","狱焰蛸之反叛","SKILL_0013","SkillCommon_EXP1980404096","559","series","5","-1","false"
"HunterSkill_179","冻峰龙之反叛","SKILL_0013","SkillCommon_EXPm215826112","560","series","5","-1","false"
"HunterSkill_183","黑蚀龙之力","SKILL_0013","SkillCommon_EXP722735744","561","series","5","-1","false"
"HunterSkill_185","锁刃龙之饥饿","SKILL_0013","SkillCommon_EXPm964369920","562","series","5","-1","false"
"HunterSkill_184","护锁刃龙之命脉","SKILL_0013","SkillCommon_EXPm1432692352","563","series","5","-1","false"
"HunterSkill_200","泡狐龙之力","SKILL_0013","SkillCommon_EXPm403054144","564","series","5","-1","false"
"HunterSkill_202","浸水刃纹","SKILL_0001","身体淋湿或在泡沫状态下时，一定时间内提高会心率。（满足对应条件后，效果可重复发动）","56","weapon","3","-1","false"
"HunterSkill_203","白炽龙之脉动","SKILL_0013","SkillCommon_EXPm555494336","565","series","5","-1","false"
"HunterSkill_204","白炽奔流","SKILL_0000","攻击命中时，有一定概率额外造成伤害。","374","weapon","1","-1","false"
"HunterSkill_205","霸主之魂","SKILL_0012","SkillCommon_EXP1484575872","510","group","5","-1","false"
"HunterSkill_207","花舞祈祷","SKILL_0013","SkillCommon_EXPm911441792","571","series","5","-1","false"
"HunterSkill_209","拳之极者","SKILL_0012","SkillCommon_EXP4554","516","group","5","-1","false"
"HunterSkill_211","饭团","SKILL_0008","豪鬼专用动作的攻击力和造成昏厥的威力提升。","375","armor","1","-1","false"
"HunterSkill_212","海龙的涡雷","SKILL_0013","SkillCommon_EXP16835","566","series","5","-1","false"
"HunterSkill_214","耐性变换【雷】","SKILL_0002","按雷属性耐性值提升武器的属性攻击值，雷属性耐性值越高，上升幅度越大。","114","weapon","1","-1","false"
"HunterSkill_215","千刃龙的斗志","SKILL_0013","SkillCommon_EXP30992","567","series","5","-1","false"
"HunterSkill_217","刃鳞研装","SKILL_0003","拔刀后，若回避正好与怪物攻击的时机重合，能获得特殊的锋利度。","156","weapon","1","-1","false"
"HunterSkill_218","刃鳞增装","SKILL_0004","拔刀后，若回避正好与怪物攻击的时机重合，能获得特殊装填的弹药／瓶。","213","weapon","1","-1","false"
"HunterSkill_219","祭典巡礼","SKILL_0012","SkillCommon_EXP13941","514","group","5","-1","false"
"HunterSkill_221","踊火祈祷","SKILL_0013","SkillCommon_EXP8694","572","series","5","-1","false"
"HunterSkill_223","梦灯祈祷","SKILL_0013","SkillCommon_EXP11709","573","series","5","-1","false"
"HunterSkill_225","祝谣祈祷","SKILL_0013","SkillCommon_EXP30815","574","series","5","-1","false"
"HunterSkill_227","荣光盛赞","SKILL_0012","SkillCommon_EXP2237","515","group","5","-1","false"
"HunterSkill_229","能量石","SKILL_0000","获得矿石后，一定时间内攻击力提升。","7","weapon","1","-1","false"
"HunterSkill_230","烧烤玉米炮","SKILL_0008","铳枪的龙击槽红光闪烁时，提高炮击的威力和火属性攻击值。","376","weapon","1","-1","false"
"HunterSkill_231","炎之大厨","SKILL_0000","烤肉后回复武器锋利度，一定时间内提升攻击性能。（效果时间与内容会因烤肉结果而异）","115","weapon","1","-1","false"
"HunterSkill_232","回避装填","SKILL_0004","回避时会自动装填当前选择的弹药。","214","weapon","1","-1","false"
"HunterSkill_233","暗黑","SKILL_0000","使出第2阶段或以上的部分蓄力斩时，自身将受到伤害。另外在一定时间内提升攻击力。","8","weapon","1","-1","false"
"HunterSkill_234","合成盾","SKILL_0005","精准格挡成功时，一定时间内提升自身及范围内同伴的防御力。","268","weapon","1","-1","false"
"HunterSkill_235","协作程序","SKILL_0001","使用飞天螺旋斩时，一定时间内提升自身及范围内同伴的会心率。","57","weapon","1","-1","false"
"HunterSkill_236","暗黑骑士之证","SKILL_0013","SkillCommon_EXP24531","568","series","5","-1","false"
"HunterSkill_237","欧米茄共鸣","SKILL_0013","SkillCommon_EXP31540","569","series","5","-1","false"
"HunterSkill_238","喵喵棒","SKILL_0011","会心攻击时，有较低概率获得各种道具","479","weapon","1","-1","false"
"HunterSkill_239","巨戟龙的默示录","SKILL_0013","SkillCommon_EXP5590","570","series","5","-1","false"
