id,name,type,description,sortId,skills,slots,rarity,attack,critical,defense,attribute,attributeValue,subattribute,subattributeValue,sharpness,takumi
"Bow_073","影蜘蛛柔韧弓Ⅲ","bow","强韧的影蜘蛛之弓。搭弦之矢能以瞠目结舌的破坏力击中目标。","43","HunterSkill_048,2,HunterSkill_022,1","3,2,0","7","180","20","0","","","","","",""
"Bow_074","影蜘蛛柔韧弯弓","bow","影蜘蛛柔韧弓的强化型。柔软的素材及经过力学计算的弯曲度，造就了此完成版。","44","HunterSkill_048,2,HunterSkill_022,1","3,2,1","8","210","20","0","","","","","",""
"Bow_079","辟虐弓Ⅰ","bow","使用辟兽的骨制成的战弓。射出的箭矢会不断贪婪地追踪猎物。","45","HunterSkill_033,1","0,0,0","2","140","-5","20","","","","","",""
"Bow_080","辟虐弓Ⅱ","bow","使用辟兽的骨制成的战弓。射出的箭矢会不断贪婪地追踪猎物。","46","HunterSkill_033,2","1,1,0","4","180","-5","20","","","","","",""
"Bow_081","辟虐弓Ⅲ","bow","使用辟兽的骨制成的战弓。射出的箭矢会不断贪婪地追踪猎物。","47","HunterSkill_033,3","2,2,0","6","210","-5","20","","","","","",""
"Bow_087","护辟虐弓Ⅰ","bow","以护辟兽素材制作的弓。面对拦路之辈无需留情，以残虐将其埋葬于大地！","54","HunterSkill_019,1,HunterSkill_037,1","1,0,0","4","180","-15","0","","","","","",""
"Bow_088","护辟虐弓Ⅱ","bow","以护辟兽素材制作的弓。面对拦路之辈无需留情，以残虐将其埋葬于大地！","55","HunterSkill_019,2,HunterSkill_037,1","2,2,0","6","220","-15","0","","","","","",""
"Bow_089","狂暴护辟虐弓","bow","强化后的护辟虐弓。手持此武器之人将成为狂暴的化身，被破坏的冲动所支配。","56","HunterSkill_019,2,HunterSkill_037,1","3,3,1","8","250","-15","0","","","","","",""
"Bow_095","猎弓Ⅰ","bow","使用柔韧的骨素材制作的简易弓。弓弦易拉，以好上手而著称。","29","HunterSkill_022,1","0,0,0","1","110","0","0","","","","","",""
"Bow_096","猎弓Ⅱ","bow","使用柔韧的骨素材制作的简易弓。弓弦易拉，以好上手而著称。","30","HunterSkill_022,1,HunterSkill_000,1","0,0,0","2","130","0","0","","","","","",""
"Bow_097","猎弓Ⅲ","bow","使用柔韧的骨素材制作的简易弓。弓弦易拉，以好上手而著称。","31","HunterSkill_022,2,HunterSkill_000,1","1,0,0","4","170","0","0","","","","","",""
"Bow_098","猎弓Ⅳ","bow","使用柔韧的骨素材制作的简易弓。弓弦易拉，以好上手而著称。","32","HunterSkill_022,3,HunterSkill_000,1","2,1,0","6","200","0","0","","","","","",""
"Bow_099","强力猎弓","bow","通过反复改良提高性能的猎弓。搭于弦上的箭，威力绝不可小觑。","33","HunterSkill_022,3,HunterSkill_000,1","3,2,1","8","230","0","0","","","","","",""
"Bow_103","护雷白弓Ⅰ","bow","使用护雷颚龙素材制作的弓。唯有能以理性抑制蛮勇之力者方可使用。","60","HunterSkill_003,3","2,1,0","6","180","15","0","elec","16","","","",""
"Bow_104","闪电护雷弓","bow","护雷白弓的强化版，具备强大到足以扭曲常理的力量。如果沉溺于这份力量，将会自取灭亡。","61","HunterSkill_003,3","3,2,1","8","200","15","0","elec","20","","","",""
"Bow_108","波涛弓Ⅰ","bow","使用波衣龙素材制作的弓。制作时倾注了感谢自然万物之意，会给弓弦上的箭施加保护。","34","HunterSkill_197,2","0,0,0","3","160","-20","0","water","10","","","",""
"Bow_109","波涛弓Ⅱ","bow","使用波衣龙素材制作的弓。制作时倾注了感谢自然万物之意，会给弓弦上的箭施加保护。","35","HunterSkill_197,2","2,1,0","5","190","-20","0","water","14","","","",""
"Bow_110","波涛弓Ⅲ","bow","使用波衣龙素材制作的弓。制作时倾注了感谢自然万物之意，会给弓弦上的箭施加保护。","36","HunterSkill_197,3","3,2,0","7","220","-20","0","water","17","","","",""
"Bow_111","狂澜波涛弓","bow","波涛弓的强化版。大自然的气息会托起箭矢，带来荣光。","37","HunterSkill_197,3","3,2,1","8","240","-20","0","water","20","","","",""
"Bow_116","视野of失落Ⅰ","bow","形如黑蚀龙的威武大弓。射出的箭矢缠绕着无尽的绝望，甚至能将光芒粉碎殆尽。","67","HunterSkill_003,3","3,2,0","7","180","20","0","dragon","12","","","",""
"Bow_117","视野of绝望","bow","支配混沌的视野of失落强化版。它射出的箭矢将消灭光芒，于大地上创造出黑暗的世界。","68","HunterSkill_003,3","3,2,1","8","210","20","0","dragon","15","","","",""
"Bow_121","强力狂野弓Ⅰ","bow","以高威力而自豪的桃毛兽王之猎弓。弓弦非常沉重，力气不够是拉不开的。","38","HunterSkill_037,1","0,0,0","2","120","5","0","","","","","",""
"Bow_122","强力狂野弓Ⅱ","bow","以高威力而自豪的桃毛兽王之猎弓。弓弦非常沉重，力气不够是拉不开的。","39","HunterSkill_037,1,HunterSkill_048,1","2,1,0","5","170","5","0","","","","","",""
"Bow_123","密林射猎弓","bow","强力狂野弓的强化型。射出的每一箭都能射穿遮挡的树木，轻易捕捉到猎物。","40","HunterSkill_037,2,HunterSkill_048,1","3,3,1","8","220","5","0","","","","","",""
"Bow_129","雪狮毗湿奴弓Ⅰ","bow","如雪狮子王的尾巴般柔韧颀长的弓。特殊构造的箭筒可以使寒气缠绕箭矢。","69","HunterSkill_197,3","2,1,0","6","200","-10","0","ice","11","","","",""
"Bow_130","狮王毗湿奴弓","bow","强化后更强劲也更柔韧的雪狮毗湿奴弓。据说它射出的箭矢连太阳都能击落。","70","HunterSkill_197,3","3,2,1","8","230","-10","0","ice","15","","","",""
"Bow_134","鸟币弓Ⅰ","bow","使用了怪鸟素材的猎弓，可射出火焰。其操作容易，受到好评。","57","HunterSkill_048,2","2,1,0","5","170","0","0","fire","23","","","",""
"Bow_135","鸟币弓Ⅱ","bow","使用了怪鸟素材的猎弓，可射出火焰。其操作容易，受到好评。","58","HunterSkill_048,3","3,2,0","7","190","0","0","fire","27","","","",""
"Bow_136","怪鸟币弓","bow","强化后的鸟币弓，化为连飞龙也能射下的狩猎弓。缠绕怪鸟之炎的箭驰骋于天空。","59","HunterSkill_048,3","3,2,1","8","200","0","0","fire","30","","","",""
"Bow_139","护锁刃弓Ⅰ","bow","以护龙素材制作的弓。用力拉弓时，手会感受到弓的鼓动，使感官变得更敏锐。","49","HunterSkill_022,2","1,1,0","4","170","-10","0","dragon","9","","","",""
"Bow_140","护锁刃弓Ⅱ","bow","以护龙素材制作的弓。用力拉弓时，手会感受到弓的鼓动，使感官变得更敏锐。","50","HunterSkill_022,2","2,2,0","6","210","-10","0","dragon","12","","","",""
"Bow_141","护锁刃弓·特里斯坦","bow","经过强化的护锁刃弓。据说获得这件武器的人，都将获得足以留名青史的荣光。","51","HunterSkill_022,2","3,3,1","8","240","-10","0","dragon","15","","","",""
"Bow_147","锁刃弓Ⅰ","bow","使用锁刃龙素材制作的弓。据说此弓曾为古代骑士所用，在众多地区留下了屠龙传说。","52","HunterSkill_022,3","3,2,0","7","200","0","0","dragon","16","","","",""
"Bow_160","机械弓Ⅰ","bow","由发现的武器碎片组成的古代战弓。其构造模仿了生物的腿，但缘何如此却仍是未解之谜。","100","","2,2,2","6","170","5","0","","","","","",""
"Bow_161","机械弓Ⅱ","bow","由发现的武器碎片组成的古代战弓。其构造模仿了生物的腿，但缘何如此却仍是未解之谜。","101","","2,2,2","7","180","5","0","","","","","",""
"Bow_165","天使之足","bow","有着潜藏性能的太古战弓。从其往昔之影射出的每一箭，就如同对背信者的天罚。","102","","3,3,3","8","190","5","0","","","","","",""
"Bow_168","白炽弓萨麦尔Ⅰ","bow","由白炽龙素材锻造，冠以至纯荣誉之名的长弓。其箭矢划破长空，伴随敌意倾泻而下。","103","HunterSkill_204,1","3,2,0","7","210","5","0","dragon","10","","","",""
"Bow_169","炽光弓萨麦尔","bow","萨麦尔自天上传下意志——渴求荣光的堕落之辈啊，吾之弓弦将抵御天下一切威光。","104","HunterSkill_204,1","3,2,1","8","220","5","0","dragon","14","","","",""
"Bow_172","期冀之弓","bow","通过实地调查而改良的希望之弓。即便希望远去遥不可及，箭矢亦能百步穿杨，直中希望。","5","HunterSkill_019,3,HunterSkill_001,1","3,2,1","8","220","0","0","","","","","",""
"Bow_173","卡利斯托辟虐弓","bow","不断寻求猎物的强化版辟虐弓。被此弓瞄准的对象，会被不依不饶地追杀至死。","48","HunterSkill_033,3","3,3,1","8","240","-5","20","","","","","",""
"Bow_174","锁刃弓·特里斯坦","bow","锁刃弓的强化版。射出的箭矢仿佛能接受射手意志的引导，直接射穿龙的要害。","53","HunterSkill_022,3","3,2,1","8","220","0","0","dragon","20","","","",""
"Bow_175","狐弓【露湿乱世情】Ⅰ","bow","一直支持着恋人的公主所遗留的风雅之弓。飞散而出的水滴之箭将化作天上的慈雨。","106","HunterSkill_202,2,HunterSkill_003,1","2,1,0","6","180","15","0","water","13","","","",""
"Bow_176","投箭远弓之真弦","bow","狐弓【露湿乱世情】强化型。风雅之弓的慈雨，终将化成遮住月亮的黑雨，倾注而下。","107","HunterSkill_202,3,HunterSkill_003,1","3,2,1","8","210","15","0","water","19","","","",""
"Bow_180","雷光弓Ⅰ","bow","用海龙的柔软素材制成的狩猎弓。漩涡状的弓腹可加强箭矢射出时的推力。","112","HunterSkill_214,1,HunterSkill_197,2","3,2,0","7","200","0","0","elec","20","","","",""
"Bow_181","高压雷光弓","bow","内置带电机构的强化型雷光弓。能伴随高压电流高速射出箭矢。","113","HunterSkill_214,1,HunterSkill_197,2","3,2,1","8","220","0","0","elec","25","","","",""
"Bow_185","亡国的丘比特之足","bow","吞噬隐藏性能的异形之悲叹。往昔忏悔所渴求的乃是夙愿所致的天罚降临。","114","","3,3,3","8","200","-10","0","","","","","",""
"Bow_186","亡国的丘比特之足","bow","吞噬隐藏性能的异形之悲叹。往昔忏悔所渴求的乃是夙愿所致的天罚降临。","115","","3,3,3","8","180","15","0","","","","","",""
"Bow_188","苍世龙弓","bow","让人联想到璀璨苍蓝星的弓。有所觉悟的猎人拿在手上，心中就会涌现坚毅勇敢的苍蓝精神。","117","HunterSkill_243,1,HunterSkill_003,2","3,2,0","7","190","25","0","water","25","","","",""
"Bow_189","苍世龙弓【天翔】","bow","在勇猛猎人手中获得升华的苍世龙弓。离弦的璀璨之箭，宛若翱翔天际之龙。","118","HunterSkill_243,1,HunterSkill_003,2","3,2,1","8","210","25","0","water","30","","","",""
"Bow_193","亡国的丘比特之足","bow","吞噬隐藏性能的异形之悲叹。往昔忏悔所渴求的乃是夙愿所致的天罚降临。","116","","3,3,3","8","190","0","0","","","","","",""
"ChargeAxe_000","希望兵装Ⅰ","charge-axe","为调查东部地区而特别制作的盾斧。盾牌的功能可不单单是格挡。灌注力量，释放它的威力吧！","0","","0,0,0","1","90","0","0","","","","","50,60,40,50,0,0,0","50,0,0,0"
"ChargeAxe_001","希望兵装Ⅱ","charge-axe","为调查东部地区而特别制作的盾斧。盾牌的功能可不单单是格挡。灌注力量，释放它的威力吧！","1","HunterSkill_046,1","0,0,0","1","100","0","0","","","","","40,50,50,60,0,0,0","50,0,0,0"
"ChargeAxe_002","希望兵装Ⅲ","charge-axe","为调查东部地区而特别制作的盾斧。盾牌的功能可不单单是格挡。灌注力量，释放它的威力吧！","2","HunterSkill_046,1,HunterSkill_001,1","0,0,0","3","130","0","0","","","","","50,60,60,80,0,0,0","50,0,0,0"
"ChargeAxe_003","希望兵装Ⅳ","charge-axe","为调查东部地区而特别制作的盾斧。盾牌的功能可不单单是格挡。灌注力量，释放它的威力吧！","3","HunterSkill_046,2,HunterSkill_001,1","2,1,0","5","160","0","0","","","","","50,60,70,70,50,0,0","50,0,0,0"
"ChargeAxe_004","希望兵装Ⅴ","charge-axe","为调查东部地区而特别制作的盾斧。盾牌的功能可不单单是格挡。灌注力量，释放它的威力吧！","4","HunterSkill_046,2,HunterSkill_001,1","3,2,0","7","190","0","0","","","","","50,60,60,80,50,50,0","50,0,0,0"
"ChargeAxe_005","骨制兵装Ⅰ","charge-axe","加工骨头所得的盾斧。为了发挥素材的强韧度，有意避免了复杂纤细的设计。","34","HunterSkill_036,1","0,0,0","1","110","0","0","","","","","50,80,70,0,0,0,0","40,10,0,0"
"ChargeAxe_006","骨制兵装Ⅱ","charge-axe","加工骨头所得的盾斧。为了发挥素材的强韧度，有意避免了复杂纤细的设计。","35","HunterSkill_036,1,HunterSkill_000,1","0,0,0","2","130","0","0","","","","","50,50,100,0,0,0,0","20,30,0,0"
"ChargeAxe_007","骨制兵装Ⅲ","charge-axe","加工骨头所得的盾斧。为了发挥素材的强韧度，有意避免了复杂纤细的设计。","36","HunterSkill_036,2,HunterSkill_000,1","1,0,0","4","170","0","0","","","","","50,70,100,30,0,0,0","50,0,0,0"
"ChargeAxe_008","骨制兵装Ⅳ","charge-axe","加工骨头所得的盾斧。为了发挥素材的强韧度，有意避免了复杂纤细的设计。","37","HunterSkill_036,2,HunterSkill_000,1","2,1,0","6","200","0","0","","","","","50,70,80,100,0,0,0","50,0,0,0"
"ChargeAxe_009","硬骨兵装","charge-axe","精选硬质的骨进行强化后的骨制兵装。保留良好手感，进一步提升了威力。","38","HunterSkill_036,2,HunterSkill_000,2","3,2,1","8","230","0","0","","","","","50,60,70,70,100,0,0","50,0,0,0"
"ChargeAxe_010","混铅盾斧Ⅰ","charge-axe","大量流通的新手用盾斧。因为是量产型，略微有些粗糙，但坚固且易用。","9","HunterSkill_047,1","0,0,0","2","120","0","0","","","","","30,40,90,40,0,0,0","50,0,0,0"
"ChargeAxe_011","混铅盾斧Ⅱ","charge-axe","大量流通的新手用盾斧。因为是量产型，略微有些粗糙，但坚固且易用。","10","HunterSkill_047,2","1,0,0","4","160","0","0","","","","","30,60,90,70,0,0,0","50,0,0,0"
"ChargeAxe_012","混铅盾斧Ⅲ","charge-axe","大量流通的新手用盾斧。因为是量产型，略微有些粗糙，但坚固且易用。","11","HunterSkill_047,3","2,1,0","6","190","0","0","","","","","30,70,90,60,50,0,0","50,0,0,0"
"ChargeAxe_013","合金盾斧","charge-axe","以多种金属互相配合，提高了使用性能。保留原本的手感，进一步加强了破坏力。","12","HunterSkill_047,3","3,2,1","8","220","0","0","","","","","30,60,90,70,50,50,0","50,0,0,0"
"ChargeAxe_014","缠蛙兵装Ⅰ","charge-axe","使用缠蛙的素材和骨制成的盾斧。变形的关键部件得到了包裹，稳定性得以提高。","24","HunterSkill_026,1","0,0,0","1","110","0","15","","","","","50,20,110,20,0,0,0","50,0,0,0"
"ChargeAxe_015","缠蛙兵装Ⅱ","charge-axe","使用缠蛙的素材和骨制成的盾斧。变形的关键部件得到了包裹，稳定性得以提高。","25","HunterSkill_026,1,HunterSkill_035,1","0,0,0","3","150","0","15","","","","","80,20,120,30,0,0,0","50,0,0,0"
"ChargeAxe_016","缠蛙兵装Ⅲ","charge-axe","使用缠蛙的素材和骨制成的盾斧。变形的关键部件得到了包裹，稳定性得以提高。","26","HunterSkill_026,2,HunterSkill_035,1","2,1,0","5","180","0","15","","","","","70,30,110,80,10,0,0","50,0,0,0"
"ChargeAxe_017","缠蛙兵装Ⅳ","charge-axe","使用缠蛙的素材和骨制成的盾斧。变形的关键部件得到了包裹，稳定性得以提高。","27","HunterSkill_026,2,HunterSkill_035,1","3,2,0","7","200","0","15","","","","","60,20,120,100,50,0,0","50,0,0,0"
"ChargeAxe_018","刺花盾斧Ⅰ","charge-axe","布满了刺花蜘蛛纤维的盾斧。斩击带有麻痹属性，绝不会放走任何到手猎物。","50","HunterSkill_029,1","0,0,0","1","100","10","0","paralyse","10","","","50,50,40,60,0,0,0","50,0,0,0"
"ChargeAxe_019","刺花盾斧Ⅱ","charge-axe","布满了刺花蜘蛛纤维的盾斧。斩击带有麻痹属性，绝不会放走任何到手猎物。","51","HunterSkill_029,1,HunterSkill_056,1","0,0,0","3","120","10","0","paralyse","13","","","70,50,30,100,0,0,0","50,0,0,0"
"ChargeAxe_020","刺花盾斧Ⅲ","charge-axe","布满了刺花蜘蛛纤维的盾斧。斩击带有麻痹属性，绝不会放走任何到手猎物。","52","HunterSkill_029,1,HunterSkill_056,1","2,1,0","5","150","15","0","paralyse","18","","","70,50,30,100,50,0,0","50,0,0,0"
"ChargeAxe_021","刺花盾斧Ⅳ","charge-axe","布满了刺花蜘蛛纤维的盾斧。斩击带有麻痹属性，绝不会放走任何到手猎物。","53","HunterSkill_029,2,HunterSkill_056,1","3,2,0","7","180","15","0","paralyse","21","","","70,50,30,90,60,50,0","50,0,0,0"
"ChargeAxe_022","毒蛛刺花盾斧","charge-axe","刺花盾斧的强化版，用更加柔韧的纤维连接了各个部位。在灵活的联动下，每一次攻击都异常强劲。","54","HunterSkill_029,2,HunterSkill_056,1","3,2,1","8","200","15","0","paralyse","25","","","70,50,30,60,40,100,0","50,0,0,0"
"ChargeAxe_023","波涛盾斧Ⅰ","charge-axe","使用波衣龙素材制作的盾斧。美丽的盾会守护主人，带水的斧会用重击碾碎对方。","46","HunterSkill_023,2","0,0,0","3","160","-15","0","water","20","","","50,70,100,30,0,0,0","50,0,0,0"
"ChargeAxe_024","波涛盾斧Ⅱ","charge-axe","使用波衣龙素材制作的盾斧。美丽的盾会守护主人，带水的斧会用重击碾碎对方。","47","HunterSkill_023,2","2,1,0","5","190","-15","0","water","26","","","60,70,120,50,0,0,0","50,0,0,0"
"ChargeAxe_025","波涛盾斧Ⅲ","charge-axe","使用波衣龙素材制作的盾斧。美丽的盾会守护主人，带水的斧会用重击碾碎对方。","48","HunterSkill_023,3","3,2,0","7","220","-15","0","water","32","","","60,70,120,80,20,0,0","50,0,0,0"
"ChargeAxe_026","狂澜波涛盾斧","charge-axe","闪耀着妖艳光芒的波涛盾斧强化版。重击产生的庞大水量会将猎物连同它的恶意一道卷走。","49","HunterSkill_023,3","3,2,1","8","240","-15","0","water","35","","","60,60,100,80,50,0,0","10,40,0,0"
"ChargeAxe_027","沼喷盾斧Ⅰ","charge-axe","使用沼喷龙素材制作的盾斧。机关展开时会释放内部的毒，让接触到斧刃的对手感到痛苦。","13","HunterSkill_027,2","0,0,0","3","140","0","0","poison","15","","","50,60,100,40,0,0,0","50,0,0,0"
"ChargeAxe_028","沼喷盾斧Ⅱ","charge-axe","使用沼喷龙素材制作的盾斧。机关展开时会释放内部的毒，让接触到斧刃的对手感到痛苦。","14","HunterSkill_027,2","2,1,0","5","170","0","0","poison","19","","","50,50,100,90,10,0,0","50,0,0,0"
"ChargeAxe_029","沼喷盾斧Ⅲ","charge-axe","使用沼喷龙素材制作的盾斧。机关展开时会释放内部的毒，让接触到斧刃的对手感到痛苦。","15","HunterSkill_027,3","3,2,0","7","200","0","0","poison","22","","","60,50,100,30,100,10,0","50,0,0,0"
"ChargeAxe_030","沼喷蛇毒盾斧","charge-axe","强化版的沼喷盾斧如是说：剑上刻有下次用毒剂量，盾上则提示毒发时间。知识乃吾之所欲。","16","HunterSkill_027,3","3,2,1","8","220","0","0","poison","25","","","40,50,100,30,100,30,0","50,0,0,0"
"ChargeAxe_031","煌雷盾斧Ⅰ","charge-axe","带有煌雷龙雷电的盾斧。旋转刃上有锐利的雷晶爪，无论多么坚硬的鳞都能劈开。","20","HunterSkill_022,1,HunterSkill_036,1","0,0,0","3","140","0","0","elec","15","","","10,10,150,80,0,0,0","50,0,0,0"
"ChargeAxe_032","煌雷盾斧Ⅱ","charge-axe","带有煌雷龙雷电的盾斧。旋转刃上有锐利的雷晶爪，无论多么坚硬的鳞都能劈开。","21","HunterSkill_022,1,HunterSkill_036,1","2,1,0","5","170","0","0","elec","19","","","10,10,130,100,50,0,0","50,0,0,0"
